2021-06-14 04:03:21 status installed libidn11:amd64 1.33-2.2
2021-06-14 04:03:21 configure mailutils-common:all 1:3.5-4 <none>
2021-06-14 04:03:21 status unpacked mailutils-common:all 1:3.5-4
2021-06-14 04:03:21 status half-configured mailutils-common:all 1:3.5-4
2021-06-14 04:03:21 status installed mailutils-common:all 1:3.5-4
2021-06-14 04:03:21 configure exim4-config:all 4.92-8+deb10u6 <none>
2021-06-14 04:03:21 status unpacked exim4-config:all 4.92-8+deb10u6
2021-06-14 04:03:21 status half-configured exim4-config:all 4.92-8+deb10u6
2021-06-14 04:03:21 status installed exim4-config:all 4.92-8+deb10u6
2021-06-14 04:03:21 configure guile-2.2-libs:amd64 2.2.4+1-2+deb10u1 <none>
2021-06-14 04:03:21 status unpacked guile-2.2-libs:amd64 2.2.4+1-2+deb10u1
2021-06-14 04:03:21 status half-configured guile-2.2-libs:amd64 2.2.4+1-2+deb10u1
2021-06-14 04:03:21 status installed guile-2.2-libs:amd64 2.2.4+1-2+deb10u1
2021-06-14 04:03:21 configure exim4-base:amd64 4.92-8+deb10u6 <none>
2021-06-14 04:03:21 status unpacked exim4-base:amd64 4.92-8+deb10u6
2021-06-14 04:03:21 status half-configured exim4-base:amd64 4.92-8+deb10u6
2021-06-14 04:03:21 status installed exim4-base:amd64 4.92-8+deb10u6
2021-06-14 04:03:21 configure libgsasl7:amd64 1.8.0-8+b2 <none>
2021-06-14 04:03:21 status unpacked libgsasl7:amd64 1.8.0-8+b2
2021-06-14 04:03:21 status half-configured libgsasl7:amd64 1.8.0-8+b2
2021-06-14 04:03:21 status installed libgsasl7:amd64 1.8.0-8+b2
2021-06-14 04:03:21 configure exim4-daemon-light:amd64 4.92-8+deb10u6 <none>
2021-06-14 04:03:21 status unpacked exim4-daemon-light:amd64 4.92-8+deb10u6
2021-06-14 04:03:21 status half-configured exim4-daemon-light:amd64 4.92-8+deb10u6
2021-06-14 04:03:22 status installed exim4-daemon-light:amd64 4.92-8+deb10u6
2021-06-14 04:03:22 configure libmailutils5:amd64 1:3.5-4 <none>
2021-06-14 04:03:22 status unpacked libmailutils5:amd64 1:3.5-4
2021-06-14 04:03:22 status half-configured libmailutils5:amd64 1:3.5-4
2021-06-14 04:03:22 status installed libmailutils5:amd64 1:3.5-4
2021-06-14 04:03:22 configure mailutils:amd64 1:3.5-4 <none>
2021-06-14 04:03:22 status unpacked mailutils:amd64 1:3.5-4
2021-06-14 04:03:22 status half-configured mailutils:amd64 1:3.5-4
2021-06-14 04:03:22 status installed mailutils:amd64 1:3.5-4
2021-06-14 04:03:22 trigproc libc-bin:amd64 2.28-10 <none>
2021-06-14 04:03:22 status half-configured libc-bin:amd64 2.28-10
2021-06-14 04:03:22 status installed libc-bin:amd64 2.28-10
